,Precio,Marca,Modelo,Motor,Potencia,Km,Ciudad,Año,Image
73,27.691,BMW,Bmw i3 120Ah,Eléctrico,170,0,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/20/b/medium/da14848e28c89e981ccd135d9c63c3ce.JPG
74,28.900,Citroen,C5 BlueHDi S&S,Diesel,130,10,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/4/medium/0311559655112287-1-9254-LPV_wm.jpg
75,18.500,Citroen,C3 BlueHDi S&S,Diesel,110,2,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/7/medium/0311559551113155-1-E2056LRT_wm11.jpg
76,15.500,Citroen,C3 Puretech S&S Feel,Gasolina,110,7.741,Badajoz,2020,https://imgs.coches.com/coches/fotos/usados/2021/09/23/0/medium/02924129158c11b89cf92c1346b600f182c7a2f54a_original.jpg
77,16.799,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,110,1,Alava,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/30/e/medium/0307809099017db13e-7d3d-04c0-e9b7-3490ea8afa5f.jpg
78,19.490,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,7.013,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/4/medium/0312317594c86a6eba29e09c4ca6c847f972da5d4d-6546246-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
79,19.990,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,6.839,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/8/medium/0312318692c582de59820b3158f54110c91494767a-6028122-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
80,19.790,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,7.646,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/9/medium/03123183546117b3f6f745af0994de33bbd01316cb-6310037-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
81,19.700,Citroen,C3 Puretech S&S Shine,Gasolina,130,12,Toledo,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/03/7/medium/26612d889cb6c3864ea915035ba35555.jpg
82,19.990,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,6.684,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/d/medium/03123186944e3e1638dbbe4cda2f376ffbe81964c5-5921056-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
83,19.990,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,4.014,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/3/medium/03123186905b8b97c009cc4f55ed9ec4f8c2bfbe6a-6182694-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
84,19.090,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,7.966,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/5/medium/0312318698b859dd296271d1fa5eb4e83cc4c353b9-6137476-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
85,19.790,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,9.270,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/a/medium/0312318350ae409db4d47c5cc0ba4e97dc46db4792-6092151-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
86,19.990,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,6.129,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/6/medium/0312317592bfad6a0d2550fe667110245fcb70b31c-5542218-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
87,19.790,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,9.003,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/b/medium/0312317596ba32620e0c468a40d254fb34ee4d49ce-6541624-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
88,16.500,Citroen,C4 1.5 BlueHDI S&S Live,Diesel,110,0,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/12/d/medium/85b95c160d76966fb2baf79ba246af7c.jfif
89,16.500,Citroen,C4 1.5 BlueHDI S&S Live,Diesel,110,0,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/12/4/medium/80d0631025ccd2c41e6f5f780da211ca.jfif
90,23.400,Citroen,C4 1.5 BlueHDI S&S,Diesel,130,0,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/12/c/medium/a010d03e459df5e87a22a8a817ee882c.jpg
91,23.400,Citroen,C4 1.5 BlueHDI S&S,Diesel,130,0,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/12/2/medium/ca2c977ddde220a80beed4dcd9d76c3b.jpg
92,16.300,Citroen,C4 1.5 BlueHDI S&S Live,Diesel,110,0,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/10/1/medium/a68492742543216f56c4c3341b9111bc.jpg
93,16.300,Citroen,C4 1.5 BlueHDI S&S Live,Diesel,110,0,Burgos,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/10/3/medium/ceb1cbdc6dee8400ed3387161139afc4.jpg
94,16.500,Dacia,Sandero Stepway TCe,Gasolina,91,3.380,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/2/medium/0fce539a432fd4c28f1a9f2fcf5ef425.jpeg
95,15.900,Dacia,Sandero Stepway TCe,Gasolina,91,5.500,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/2/medium/5292e9ec6a02d697f3dca615865ed6ca.jpeg
96,16.700,Dacia,Sandero Stepway ECO-G,Gasolina,100,460,Valencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/5/medium/5f861ae6cc5f2cc466287f6fbf64455c.jpeg
97,16.500,Dacia,Sandero Stepway ECO-G,Gasolina,100,660,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/b/medium/41fa180f94ccddb85291c2f93375fed6.jpeg
98,19.800,Dacia,Duster 1.5 Blue dCi Comfort,Diesel,115,8,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/12/9/medium/03050626811629904622414.jpg
99,19.500,Dacia,Duster 1.5 Blue dCi Comfort,Diesel,115,7.000,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/24/a/medium/03022844471637682448873.jpg
100,19.300,Dacia,Duster 1.5 Blue dCi Comfort,Diesel,115,0,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2021/09/17/9/medium/02912709631629992149919.jpg
101,19.300,Dacia,Duster 1.5 Blue dCi Comfort,Diesel,115,8,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2021/09/17/c/medium/02912709211629789753077.jpg
102,14.500,Dacia,Sandero Stepway TCe,Gasolina,91,4.000,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/b/medium/b641c4e75f375d97c584dc3345a5ff10.jpg
103,17.500,Dacia,Sandero Stepway TCe,Gasolina,91,1.100,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/2/medium/639713a2336dc05804a5bf991a8ddf38.jpeg
104,9.900,Dacia,Sandero 1.0 Essential 55kW,Gasolina,75,6.800,Valencia,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/18/0/medium/7e8dbdbb4acefbf5acd819de076aa762.jpeg
105,16.900,Dacia,Sandero Stepway TCe,Gasolina,91,468,Valencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/2/medium/aa53334988b08789618446b51348c9d2.jpeg
106,15.500,Dacia,Sandero ECO-G Comfort,Gasolina,100,9.058,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/20/6/medium/8eec7876ddcf56d83b1e1b94bf3694fa.jpeg
107,18.190,Dacia,Duster 1.5 Blue dCi Comfort,Diesel,115,8.900,Pontevedra,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/10/7/medium/0300071967m_img_58_48241_849284_1636450518.jpg
108,16.736,Dacia,Spring Electric Comfort Plus,Eléctrico,45,1,"Palmas, Las",2022,https://imgs.coches.com/coches/fotos/usados/2022/01/25/2/medium/07c68cedd046340bf45b1cb3671276cb.jpg
109,21.100,Dacia,Duster 1.5Blue dCi Prestige,Diesel,115,25,Huelva,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/10/b/medium/41990d63c8f7061a57681719bbc2a28d.jpg
110,18.900,Dacia,Duster TCE GPF Serie,Gasolina,150,7.834,Pontevedra,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/30/3/medium/03032302871638204099775.jpeg
111,18.200,Dacia,Duster 1.5Blue dCi Comfort,Diesel,115,10,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/06/b/medium/03090933452dc36637a4d2c96fb615df988740e0ea_original.jpg
112,18.200,Dacia,Duster 1.5Blue dCi Comfort,Diesel,115,10,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/06/5/medium/03090925732dc36637a4d2c96fb615df988740e0ea_original.jpg
113,18.200,Dacia,Duster 1.5Blue dCi Comfort,Diesel,115,10,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/06/c/medium/03090868032dc36637a4d2c96fb615df988740e0ea_original.jpg
114,699.900,Ferrari,488 Pista,Gasolina,720,50,Barcelona,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/26/1/medium/03123010980d24c313-5228-4308-93ea-24d5d66685f7_01.jpg
115,14.990,Fiat,Tipo 1.6 Multijet II,Diesel,120,858,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/11/6/medium/066ed484ac9ca8816d38b664cedea994.jpg
116,15.290,Fiat,500 1.0 Hybrid Dolcevita,Gasolina,70,9.881,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/02/b/medium/0303427321imagen.jpg
117,10.250,Fiat,Panda 1.0 Gse Hybrid,Gasolina,70,0,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/11/c/medium/030488074162dfa0865a43b4ec32a7f9cfd83ea084_original.jpg
118,21.990,Fiat,500 e 87Kw Icon,Eléctrico,118,5,Avila,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/11/a/medium/671827ecbb69fdeadd6c8fbedf099ab9.jpg
119,25.400,Fiat,500 e 87Kw La Prima,Eléctrico,118,595,Malaga,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/c/medium/0311564277464000-1.png
